"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
69.600,97.20353161,61.39601014,59.204512
69.800,97.14954273,61.31830915,59.559879
70.000,97.09609434,61.24028836,59.916431
70.200,97.04318164,61.16195483,60.274167
70.400,96.99079944,61.08331427,60.633089
70.600,96.93894271,61.00437278,60.993198
70.800,96.88760644,60.92513635,61.354497
71.000,96.83678554,60.84561057,61.716985
71.200,96.78647523,60.76580203,62.080664
71.400,96.73667045,60.68571617,62.445536
71.600,96.68736627,60.60535870,62.811602
71.800,96.63855778,60.52473530,63.178862
72.000,96.59023998,60.44385118,63.547319
72.200,96.54240821,60.36271259,63.916973
72.400,96.49505752,60.28132463,64.287827
72.600,96.44818311,60.19969267,64.659881
72.800,96.40178008,60.11782170,65.033136
73.000,96.35584386,60.03571767,65.407595
73.200,96.31036962,59.95338543,65.783259
73.400,96.26535267,59.87083010,66.160128
73.600,96.22078823,59.78805641,66.538205
73.800,96.17667183,59.70507005,66.917491
74.000,96.13299878,59.62187561,67.297987
74.200,96.08976450,59.53847799,67.679695
74.400,96.04696434,59.45488168,68.062617
74.600,96.00459395,59.37109209,68.446753
74.800,95.96264877,59.28711361,68.832106
75.000,95.92112434,59.20295088,69.218677
75.200,95.88001618,59.11860825,69.606468
75.400,95.83932006,59.03409081,69.995479
75.600,95.79903152,58.94940271,70.385713
75.800,95.75914620,58.86454805,70.777172
76.000,95.71965994,58.77953183,71.169856
76.200,95.68056844,58.69435803,71.563769
76.400,95.64186741,58.60903061,71.958910
76.600,95.60355281,58.52355437,72.355282
76.800,95.56562044,58.43793317,72.752887
77.000,95.52806612,58.35217079,73.151726
77.200,95.49088592,58.26627188,73.551800
77.400,95.45407574,58.18024013,73.953113
77.600,95.41763152,58.09407919,74.355664
77.800,95.38154943,58.00779354,74.759457
78.000,95.34582548,57.92138673,75.164492
78.200,95.31045572,57.83486226,75.570773
78.400,95.27543643,57.74822447,75.978299
78.600,95.24076373,57.66147675,76.387073
78.800,95.20643378,57.57462246,76.797097
79.000,95.17244297,57.48766579,77.208373
79.200,95.13878751,57.40061001,77.620902
79.400,95.10546369,57.31345834,78.034687
79.600,95.07246800,57.22621482,78.449728
79.800,95.03979671,57.13888230,78.866029
80.000,95.00744638,57.05146472,79.283590
80.200,94.97541343,56.96396519,79.702414
80.400,94.94369432,56.87638668,80.122502
80.600,94.91228570,56.78873296,80.543856
80.800,94.88118403,56.70100669,80.966479
81.000,94.85038605,56.61321159,81.390372
81.200,94.81988834,56.52535048,81.815537
81.400,94.78968756,56.43742620,82.241976
81.600,94.75978051,56.34944229,82.669691
81.800,94.73016386,56.26140125,83.098683
82.000,94.70083448,56.17330653,83.528956
82.200,94.67178912,56.08516056,83.960510
82.400,94.64302472,55.99696671,84.393347
82.600,94.61453812,55.90872757,84.827470
82.800,94.58632621,55.82044569,85.262881
83.000,94.55838603,55.73212434,85.699581
83.200,94.53071449,55.64376575,86.137573
83.400,94.50330870,55.55537311,86.576858
83.600,94.47616564,55.46694857,87.017438
83.800,94.44928246,55.37849525,87.459316
84.000,94.42265622,55.29001524,87.902494
84.200,94.39628415,55.20151157,88.346973
84.400,94.37016335,55.11298627,88.792756
84.600,94.34429112,55.02444231,89.239844
84.800,94.31866463,54.93588165,89.688241
85.000,94.29328123,54.84730718,90.137946
85.200,94.26813816,54.75872083,90.588964
85.400,94.24323283,54.67012539,91.041295
85.600,94.21856254,54.58152270,91.494942
85.800,94.19412477,54.49291550,91.949907
86.000,94.16991685,54.40430558,92.406192
86.200,94.14593634,54.31569561,92.863799
86.400,94.12218063,54.22708732,93.322730
86.600,94.09864733,54.13848333,93.782988
86.800,94.07533390,54.04988530,94.244574
87.000,94.05223798,53.96129577,94.707490
87.200,94.02935712,53.87271637,95.171739
87.400,94.00668900,53.78414957,95.637323
87.600,93.98423121,53.69559694,96.104243
87.800,93.96198148,53.60706067,96.572503
88.000,93.93993754,53.51854293,97.042103
88.200,93.91809706,53.43004521,97.513047
88.400,93.89645788,53.34156983,97.985336
88.600,93.87501771,53.25311823,98.458973
88.800,93.85377444,53.16469267,98.933958
89.000,93.83272584,53.07629454,99.410296
89.200,93.81186981,52.98792584,99.887988
89.400,93.79120427,52.89958853,100.367036
89.600,93.77072708,52.81128393,100.847442
89.800,93.75043624,52.72301416,101.329208
90.000,93.73032964,52.63478050,101.812337
90.200,93.71040532,52.54658481,102.296831
90.400,93.69066130,52.45842893,102.782691
90.600,93.67109557,52.37031405,103.269921
90.800,93.65170621,52.28224195,103.758522
91.000,93.63249133,52.19421440,104.248496
91.200,93.61344899,52.10623253,104.739846
91.400,93.59457736,52.01829826,105.232574
91.600,93.57587453,51.93041267,105.726681
91.800,93.55733871,51.84257743,106.222171
92.000,93.53896810,51.75479418,106.719045
92.200,93.52076088,51.66706396,107.217306
92.400,93.50271531,51.57938835,107.716955
92.600,93.48482966,51.49176893,108.217996
92.800,93.46710216,51.40420666,108.720429
93.000,93.44953113,51.31670309,109.224258
93.200,93.43211491,51.22925970,109.729485
93.400,93.41485180,51.14187741,110.236111
93.600,93.39774017,51.05455770,110.744139
93.800,93.38077842,50.96730199,111.253571
94.000,93.36396490,50.88011115,111.764410
94.200,93.34729806,50.79298657,112.276658
94.400,93.33077631,50.70592945,112.790316
94.600,93.31439814,50.61894115,113.305387
94.800,93.29816197,50.53202245,113.821874
95.000,93.28206631,50.44517467,114.339778
95.200,93.26610968,50.35839895,114.859102
95.400,93.25029061,50.27169653,115.379847
95.600,93.23460760,50.18506817,115.902017
95.800,93.21905923,50.09851508,116.425614
96.000,93.20364411,50.01203850,116.950638
96.200,93.18836078,49.92563910,117.477094
96.400,93.17320787,49.83931806,118.004983
96.600,93.15818401,49.75307638,118.534307
96.800,93.14328785,49.66691504,119.065068
97.000,93.12851805,49.58083516,119.597269
97.200,93.11387326,49.49483734,120.130912
97.400,93.09935218,49.40892268,120.666000
97.600,93.08495353,49.32309210,121.202533
97.800,93.07067603,49.23734664,121.740516
98.000,93.05651840,49.15168687,122.279949
98.200,93.04247939,49.06611380,122.820835
98.400,93.02855778,48.98062828,123.363177
98.600,93.01475235,48.89523115,123.906976
98.800,93.00106190,48.80992339,124.452234
99.000,92.98748521,48.72470546,124.998955
99.200,92.97402113,48.63957833,125.547140
99.400,92.96066849,48.55454277,126.096792
99.600,92.94742613,48.46959953,126.647912
99.800,92.93429294,48.38474936,127.200504
100.000,92.92126779,48.29999314,127.754568
100.200,92.90834954,48.21533129,128.310107
100.400,92.89553713,48.13076465,128.867124
100.600,92.88282945,48.04629393,129.425622
100.800,92.87022545,47.96191979,129.985601
101.000,92.85772407,47.87764290,130.547064
101.200,92.84532425,47.79346391,131.110014
101.400,92.83302497,47.70938346,131.674452
101.600,92.82082523,47.62540233,132.240382
101.800,92.80872397,47.54152082,132.807804
102.000,92.79672022,47.45773968,133.376722
102.200,92.78481299,47.37405951,133.947138
102.400,92.77300131,47.29048088,134.519053
102.600,92.76128421,47.20700436,135.092471
102.800,92.74966074,47.12363049,135.667392
103.000,92.73812997,47.04035982,136.243820
103.200,92.72669096,46.95719288,136.821757
103.400,92.71534280,46.87413018,137.401205
103.600,92.70408456,46.79117224,137.982166
103.800,92.69291538,46.70831968,138.564641
104.000,92.68183434,46.62557272,139.148635
104.200,92.67084056,46.54293196,139.734148
104.400,92.65993319,46.46039788,140.321184
104.600,92.64911137,46.37797092,140.909743
104.800,92.63837425,46.29565152,141.499829
105.000,92.62772099,46.21344013,142.091443
105.200,92.61715077,46.13133716,142.684588
105.400,92.60666277,46.04934302,143.279266
105.600,92.59625617,45.96745813,143.875480
105.800,92.58593019,45.88568286,144.473230
106.000,92.57568402,45.80401761,145.072520
106.200,92.56551689,45.72246275,145.673352
106.400,92.55542802,45.64101864,146.275728
106.600,92.54541665,45.55968564,146.879650
106.800,92.53548203,45.47846410,147.485120
107.000,92.52562341,45.39735435,148.092141
107.200,92.51584006,45.31635673,148.700715
107.400,92.50613123,45.23547155,149.310843
107.600,92.49649622,45.15469912,149.922529
107.800,92.48693430,45.07403974,150.535774
108.000,92.47744478,44.99349372,151.150580
108.200,92.46802695,44.91306133,151.766950
108.400,92.45868012,44.83274273,152.384886
108.600,92.44940363,44.75253844,153.004390
108.800,92.44019679,44.67244860,153.625464
109.000,92.43105894,44.59247345,154.248110
109.200,92.42198942,44.51261325,154.872330
109.400,92.41298757,44.43286823,155.498128
109.600,92.40405276,44.35323863,156.125504
109.800,92.39518434,44.27372467,156.754461
110.000,92.38638169,44.19432656,157.385002
110.200,92.37764418,44.11504450,158.017127
110.400,92.36897121,44.03587872,158.650841
110.600,92.36036214,43.95682927,159.286144
110.800,92.35181641,43.87789658,159.923039
111.000,92.34333340,43.79908072,160.561527
111.200,92.33491252,43.72038186,161.201612
111.400,92.32655320,43.64180017,161.843295
111.600,92.31825485,43.56333580,162.486579
111.800,92.31001692,43.48498891,163.131465
112.000,92.30183883,43.40675965,163.777956
112.200,92.29372002,43.32864805,164.426054
112.400,92.28565995,43.25065446,165.075760
112.600,92.27765809,43.17277890,165.727078
112.800,92.26971387,43.09502149,166.380009
113.000,92.26182678,43.01738235,167.034556
113.200,92.25399628,42.93986149,167.690720
113.400,92.24622186,42.86245921,168.348504
113.600,92.23850300,42.78517552,169.007909
