                                                         22 Jun 2020 01:21:05
Place-MidPoint


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
02479    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:58.487           598.487
02480    3 Dec 2019 00:00:00.000    3 Dec 2019 00:07:43.189           463.189
02481    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:27.848           327.848
02482    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:12.478           192.478
02483    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:57.072            57.072
02520    3 Dec 2019 00:08:15.493    3 Dec 2019 00:10:00.000           104.507
02521    3 Dec 2019 00:06:00.192    3 Dec 2019 00:10:00.000           239.808
02522    3 Dec 2019 00:03:44.872    3 Dec 2019 00:10:00.000           375.128
02523    3 Dec 2019 00:01:29.538    3 Dec 2019 00:10:00.000           510.462
02524    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02525    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02526    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02527    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02528    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:56.162           596.162
02529    3 Dec 2019 00:00:00.000    3 Dec 2019 00:07:40.300           460.300
02530    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:24.416           324.416
02531    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:08.518           188.518
02532    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:52.606            52.606
02569    3 Dec 2019 00:08:14.210    3 Dec 2019 00:10:00.000           105.790
02570    3 Dec 2019 00:05:58.540    3 Dec 2019 00:10:00.000           241.460
02571    3 Dec 2019 00:03:42.851    3 Dec 2019 00:10:00.000           377.149
02572    3 Dec 2019 00:01:27.147    3 Dec 2019 00:10:00.000           512.853
02573    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02574    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02575    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02576    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
